"Reference","Value","Rating","Description","MFR Number","Manufacturer","Qty"
"C5001,C5003","33uF","16V","Aluminum Electrolytic Capacitors - Radial Leaded 33uF 16V","ECE-A1CKA330","Panasonic","2"
"C5002","0.1uF","63V DC","Film Capacitors 0.1 uF 63 VDC 5%","MKS2C031001A00JI00","WIMA","1"
"C5004","47uF","16V","Aluminum Electrolytic Capacitors - Radial Leaded 47uF 16V","ECE-A1CKA470","Panasonic","1"
"CNT5001,CNT5006","22-27-2021","","Headers & Wire Housings 2 POS HEADER","22-27-2021","Molex","2"
"CNT5002,CNT5003,CNT5004,CNT5005","2376582-2","","250 FASTON PCB TAB TPBR","2376582-2","TE Connectivity","4"
"D5001,D5002,D5003,D5004,D5005,D5006,D5007,D5008,D5009,D5010,D5011","1N4148","","Small Signal Switching Diodes Small Signal Diode, DO-35, 100V, 0.2A, 175C","1N4148","Diotec Semiconductor","11"
"DZ5001","1N4730","","Zener Diodes 3.9 Volt 1.3 Watt","1N4730A-TAP","Vishay Semiconductors","1"
"K5001","SLA-12VDC-SL-C","","SUBMINATURE HIGH POWER RELAY 5P","SLA-12VDC-SL-C","Songle Relay","1"
"Q5001,Q5003,Q5005,Q5006","2N5401","","Bipolar Transistors - BJT PNP 160Vcbo 150Vceo 5.0Vebo 600mA 625mW","2N5401 TIN/LEAD","Central Semiconductor ","4"
"Q5002,Q5004","2N5551","","Bipolar Transistors - BJT NPN 180Vcbo 160Vceo 6.0Vebo 600mA 625mW\","2N5551 TIN/LEAD","Central Semiconductor ","2"
"Q5007","BD139G","","Bipolar Transistors - BJT 1.5A 80V 12.5W NPN","BD139G","onsemi","1"
"R5001,R5010","5.6K","0.25W","Metal Film Resistors - Through Hole 5.6K OHM 1/4W 1%","MFR-25FRE52-5K6","YAGEO","2"
"R5002,R5003","47K","0.25W","Metal Film Resistors - Through Hole 47K OHM 1/4W 1%","MFR-25FRE52-47K","YAGEO","2"
"R5004","51K","0.25W","Metal Film Resistors - Through Hole 510 OHM 1/4W 1%","MFR-25FRE52-51K","YAGEO","1"
"R5005","39K","0.25W","Metal Film Resistors - Through Hole 39K OHM 1/4W 1%","MFR-25FRE52-39K","YAGEO","1"
"R5006,R5007,R5009","12K","0.25W","Metal Film Resistors - Through Hole 12K OHM 1/4W 1%","MFR-25FRE52-12K","YAGEO","3"
"R5008","8.2K","0.25W","Metal Film Resistors - Through Hole 8.2K OHM 1/4W 1%","MFR-25FRE52-8K2","YAGEO","1"
